player_id,player_name,role,status,wikipedia_title,image_url,notes
5503,Lionel Andrés Messi Cuccittini,taker,success,Lionel Messi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Lionel_Messi_White_House_2026_%283x4_cropped%29.jpg/500px-Lionel_Messi_White_House_2026_%283x4_cropped%29.jpg,
5207,Cristiano Ronaldo dos Santos Aveiro,taker,success,Cristiano Ronaldo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/President_Donald_Trump_meets_with_Cristiano_Ronaldo_in_the_Oval_Office_%2854933344262%29_%28cropped_and_rotated%29.jpg/500px-President_Donald_Trump_meets_with_Cristiano_Ronaldo_in_the_Oval_Office_%2854933344262%29_%28cropped_and_rotated%29.jpg,
25879,Ronaldo de Assis Moreira,taker,success,Ronaldinho,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Ronaldinho_in_2019.jpg/500px-Ronaldinho_in_2019.jpg,
4320,Neymar da Silva Santos Junior,taker,success,Neymar,https://upload.wikimedia.org/wikipedia/commons/b/bb/Neymar_Jr._with_Al_Hilal%2C_3_October_2023_-_03_%28cropped%29.jpg,
10955,Harry Kane,taker,success,Harry Kane,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Harry_Kane_on_October_10%2C_2023.jpg/500px-Harry_Kane_on_October_10%2C_2023.jpg,
3009,Kylian Mbappé Lottin,taker,success,Kylian Mbappé,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Picture_with_Mbapp%C3%A9_%28cropped_and_rotated%29.jpg/500px-Picture_with_Mbapp%C3%A9_%28cropped_and_rotated%29.jpg,
5246,Luis Alberto Suárez Díaz,taker,success,Luis Suárez,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Luis_Su%C3%A1rez_2026_%28cropped%29.jpg/500px-Luis_Su%C3%A1rez_2026_%28cropped%29.jpg,
5487,Antoine Griezmann,taker,success,Antoine Griezmann,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/FRA-ARG_%2810%29_%28cropped%29.jpg/500px-FRA-ARG_%2810%29_%28cropped%29.jpg,
7776,Antonio Candreva,taker,success,Antonio Candreva,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/20150616_-_Portugal_-_Italie_-_Gen%C3%A8ve_-_Antonio_Candreva.jpg/500px-20150616_-_Portugal_-_Italie_-_Gen%C3%A8ve_-_Antonio_Candreva.jpg,
40464,Moritz Hartmann,taker,not_a_footballer,Moritz Hartmann,,Categories: Category:1821 births | Category:1872 deaths | Category:19th-century Czech Jews | Category:19th-century German Jews | Category:All articles lacking in-text citations | Category:Articles lacking in-text
7139,Josip Iličić,taker,success,Josip Iličić,https://upload.wikimedia.org/wikipedia/commons/3/3b/Josip_Ilicic_2021.jpg,
15516,Thierry Henry,taker,success,Thierry Henry,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Thierry_Henry_%2851649035951%29_%28cropped%29.jpg/500px-Thierry_Henry_%2851649035951%29_%28cropped%29.jpg,
5743,Paulo Bruno Exequiel Dybala,taker,not_a_footballer,2022 FIFA World Cup knockout stage,,Categories: Category:2020s in Doha | Category:2022 FIFA World Cup | Category:Argentina at the 2022 FIFA World Cup | Category:Articles containing Croatian-language text | Category:Articles with short description |
27109,Youssef El-Arabi,taker,success,Youssef El-Arabi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Youssef-el-arabi.jpg/500px-Youssef-el-arabi.jpg,
3672,Zlatan Ibrahimović,taker,success,Zlatan Ibrahimović,https://upload.wikimedia.org/wikipedia/commons/0/09/Zlatan_Ibrahimovi%C4%87_June_2018.jpg,
3454,Troy Deeney,taker,success,Troy Deeney,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Troy_Deeney_141028.jpg/500px-Troy_Deeney_141028.jpg,
3247,Fábio Henrique Tavares,taker,success,"Fabinho (footballer, born 1993)",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Fabinho_%2843934382122%29_%28cropped%29.jpg/500px-Fabinho_%2843934382122%29_%28cropped%29.jpg,
7471,Andrea Belotti,taker,success,Andrea Belotti,https://upload.wikimedia.org/wikipedia/commons/4/45/Andrea_Belotti_2021.jpg,
3814,Riyad Mahrez,taker,success,Riyad Mahrez,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Mahrez_2021.jpg/500px-Mahrez_2021.jpg,
10960,Jamie Vardy,taker,success,Jamie Vardy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Jamie_Vardy_2018_%28cropped%29.jpg/500px-Jamie_Vardy_2018_%28cropped%29.jpg,
8237,Paul Verhaegh,taker,no_image,Paul Verhaegh,,Page exists but has no infobox image
11132,Claudio Miguel Pizarro Bossio,taker,no_image,List of foreign Liga MX players,,Page exists but has no infobox image
7131,Domenico Berardi,taker,success,Domenico Berardi,https://upload.wikimedia.org/wikipedia/commons/c/c8/Domenico_Berardi%2C_Palazzo_Chigi%2C_2021.jpg,
5463,Luka Modrić,taker,success,Luka Modrić,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Ofrenda_de_la_Liga_y_la_Champions-57-L.Mill%C3%A1n_%2852109310843%29_%28Luka_Modri%C4%87%29.jpg/500px-Ofrenda_de_la_Liga_y_la_Champions-57-L.Mill%C3%A1n_%2852109310843%29_%28Luka_Modri%C4%87%29.jpg,
5562,Thomas Müller,taker,success,Thomas Müller,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg/500px-FC_Red_Bull_Salzburg_gegen_Bayern_M%C3%BCnchen_%282025-01-06_Testspiel%29_19.jpg,
19298,Samuel Eto''o Fils,taker,success,Samuel Eto'o,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Samuel_2011.jpg/500px-Samuel_2011.jpg,
3237,Sergio Leonel Agüero del Castillo,taker,success,Sergio Agüero,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Ag%C3%BCero_in_2018.jpg/500px-Ag%C3%BCero_in_2018.jpg,
3185,Thomas Mangani,taker,success,Thomas Mangani,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Lens_-_Angers_%2829-11-2020%29_42.jpg/500px-Lens_-_Angers_%2829-11-2020%29_42.jpg,
16462,Hatem Ben Arfa,taker,success,Hatem Ben Arfa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Hatem_Ben_Arfa_Cannes_2016_2.jpg/500px-Hatem_Ben_Arfa_Cannes_2016_2.jpg,
6595,Daniel Parejo Muñoz,taker,success,Dani Parejo,https://upload.wikimedia.org/wikipedia/commons/5/56/Real_Valladolid-Valencia_CF%2C_2019-05-18_%2819%29_%28cropped%29.jpg,
6401,Kevin Gameiro,taker,success,Kevin Gameiro,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Kevin_Gameiro_2016_%28cropped%29.jpg/500px-Kevin_Gameiro_2016_%28cropped%29.jpg,
3038,Andy Delort,taker,success,Andy Delort,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Andy_Delort_%2810-4-2022%29.jpg/500px-Andy_Delort_%2810-4-2022%29.jpg,
5668,Robert Lewandowski,taker,success,Robert Lewandowski,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2019147183134_2019-05-27_Fussball_1.FC_Kaiserslautern_vs_FC_Bayern_M%C3%BCnchen_-_Sven_-_1D_X_MK_II_-_0228_-_B70I8527_%28cropped%29.jpg/500px-2019147183134_2019-05-27_Fussball_1.FC_Kaiserslautern_vs_FC_Bayern_M%C3%BCnchen_-_Sven_-_1D_X_MK_II_-_0228_-_B70I8527_%28cropped%29.jpg,
6394,Aritz Aduriz Zubeldia,taker,success,Aritz Aduriz,https://upload.wikimedia.org/wikipedia/commons/9/97/SM-AB_2018_%287%29_%28Aduriz%29.jpg,
6723,Wissam Ben Yedder,taker,success,Wissam Ben Yedder,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Wissam_Ben_Yedder_AS_Monaco_capitain_%2820-12-2023%29_%28cropped%29.jpg/500px-Wissam_Ben_Yedder_AS_Monaco_capitain_%2820-12-2023%29_%28cropped%29.jpg,
3944,Gylfi Þór Sigurðsson,taker,success,Gylfi Sigurðsson,https://upload.wikimedia.org/wikipedia/commons/f/f3/ISL-HRV_%2821%29_%28cropped%29.jpg,
10755,Jonathan Viera Ramos,taker,success,Jonathan Viera,https://upload.wikimedia.org/wikipedia/commons/6/69/Jonathan_Viera_-_Valencia_CF_-_Espa%C3%B1ol_2012_%5E9_-_Flickr_-_V%C3%ADctor_Guti%C3%A9rrez_Navarro.jpg,
33178,Benjamin Moukandjo Bilé,taker,success,Benjamin Moukandjo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Cameroon-Australia_%2812%29.jpg/500px-Cameroon-Australia_%2812%29.jpg,
9723,Sandro Wagner,taker,success,Sandro Wagner,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Sandro_Wagner_2018.jpg/500px-Sandro_Wagner_2018.jpg,
8060,Klaas-Jan Huntelaar,taker,success,Klaas-Jan Huntelaar,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Klaas-Jan_Huntelaar_in_2015_%28crop%29.png/500px-Klaas-Jan_Huntelaar_in_2015_%28crop%29.png,
